,N,Loss
0,1,0.6397039890289307
0,101,0.3124484717845917
0,201,0.26003846526145935
0,301,0.2098156213760376
0,401,0.1700708419084549
0,501,0.1571340411901474
0,601,0.16085052490234375
0,701,0.16282381117343903
0,801,0.12994377315044403
0,901,0.10180078446865082
0,1001,0.10217075049877167
0,1101,0.0878012478351593
0,1201,0.10948140174150467
0,1301,0.08566045761108398
0,1401,0.10195554792881012
0,1501,0.07119808346033096
0,1601,0.07198286801576614
0,1701,0.08120668679475784
0,1801,0.06990160793066025
0,1901,0.072112537920475
0,2001,0.07707473635673523
0,2101,0.05893946811556816
0,2201,0.05390932038426399
0,2301,0.05175046622753143
0,2401,0.05292246863245964
0,1,1.2380741834640503
0,101,0.3080362379550934
0,201,0.27407798171043396
0,301,0.2263067215681076
0,401,0.18705059587955475
0,501,0.18341434001922607
0,601,0.17182664573192596
0,701,0.13196830451488495
0,801,0.11310677230358124
0,901,0.13781589269638062
0,1001,0.12295082956552505
0,1101,0.08930454403162003
0,1201,0.11339826881885529
0,1301,0.10651480406522751
0,1401,0.10662014782428741
0,1501,0.10587435960769653
0,1601,0.07510041445493698
0,1701,0.09436427056789398
0,1801,0.07100826501846313
0,1901,0.06136206164956093
0,2001,0.0843464657664299
0,2101,0.06066114827990532
0,2201,0.06751951575279236
0,2301,0.06655518710613251
0,2401,0.06465405225753784
0,1,0.7436719536781311
0,101,0.2943643629550934
0,201,0.25161924958229065
0,301,0.21532917022705078
0,401,0.19822441041469574
0,501,0.19841696321964264
0,601,0.16260932385921478
0,701,0.14518100023269653
0,801,0.11018817126750946
0,901,0.13800925016403198
0,1001,0.11268305033445358
0,1101,0.1159326583147049
0,1201,0.09922997653484344
0,1301,0.09994664043188095
0,1401,0.07741940766572952
0,1501,0.08981330692768097
0,1601,0.09281008690595627
0,1701,0.07609525322914124
0,1801,0.0554247722029686
0,1901,0.06358850747346878
0,2001,0.06578613817691803
0,2101,0.05721002072095871
0,2201,0.05615437403321266
0,2301,0.0687929093837738
0,2401,0.05093686655163765
0,1,0.5873324275016785
0,101,0.3235497772693634
0,201,0.2658158242702484
0,301,0.21061699092388153
0,401,0.20724040269851685
0,501,0.16798317432403564
0,601,0.18079020082950592
0,701,0.16872595250606537
0,801,0.1390308439731598
0,901,0.13965465128421783
0,1001,0.11116968840360641
0,1101,0.09627576917409897
0,1201,0.10510995239019394
0,1301,0.07932557165622711
0,1401,0.0740114077925682
0,1501,0.10498572140932083
0,1601,0.0702316015958786
0,1701,0.09593387693166733
0,1801,0.06724702566862106
0,1901,0.07481150329113007
0,2001,0.06710155308246613
0,2101,0.08046624064445496
0,2201,0.06302137672901154
0,2301,0.05686080828309059
0,2401,0.0520201250910759
0,1,0.8153778314590454
0,101,0.30105578899383545
0,201,0.24733981490135193
0,301,0.22705069184303284
0,401,0.19073078036308289
0,501,0.16621053218841553
0,601,0.17146636545658112
0,701,0.1526123583316803
0,801,0.13040482997894287
0,901,0.12434663623571396
0,1001,0.10934795439243317
0,1101,0.10248235613107681
0,1201,0.08702846616506577
0,1301,0.09355707466602325
0,1401,0.09378712624311447
0,1501,0.09090960770845413
0,1601,0.08327428996562958
0,1701,0.07736729830503464
0,1801,0.058201659470796585
0,1901,0.07412314414978027
0,2001,0.0837760865688324
0,2101,0.05330909788608551
0,2201,0.06891252100467682
0,2301,0.0655200406908989
0,2401,0.05297253280878067
0,1,0.6366451382637024
0,101,0.30134132504463196
0,201,0.26916828751564026
0,301,0.21458005905151367
0,401,0.1915564388036728
0,501,0.17207562923431396
0,601,0.17544318735599518
0,701,0.12819881737232208
0,801,0.1249445453286171
0,901,0.1527412384748459
0,1001,0.1015162244439125
0,1101,0.10977043211460114
