,N,Loss
0,1,0.18389642238616943
0,126,0.11881079524755478
0,251,0.12230685353279114
0,376,0.12971214950084686
0,501,0.1241731196641922
0,626,0.11654005199670792
0,751,0.11589024215936661
0,876,0.1050562784075737
0,1001,0.11653018742799759
0,1126,0.12958167493343353
0,1251,0.10797291994094849
0,1376,0.10958411544561386
0,1501,0.11299237608909607
0,1626,0.1168237030506134
0,1751,0.11042232811450958
0,1876,0.12589335441589355
0,2001,0.11804229021072388
0,2126,0.11716905236244202
0,2251,0.12429328262805939
0,2376,0.11615873128175735
0,1,0.33269333839416504
0,126,0.13456633687019348
0,251,0.12546829879283905
0,376,0.12091191112995148
0,501,0.11892347037792206
0,626,0.13449421525001526
0,751,0.13715192675590515
0,876,0.11944984644651413
0,1001,0.1258680373430252
0,1126,0.12368865311145782
0,1251,0.129012793302536
0,1376,0.12002281099557877
0,1501,0.12574613094329834
0,1626,0.12250427156686783
0,1751,0.1308692991733551
0,1876,0.10895395278930664
0,2001,0.11925175786018372
0,2126,0.10651461780071259
0,2251,0.11869523674249649
0,2376,0.11759324371814728
0,1,0.19352199137210846
0,126,0.14033032953739166
0,251,0.11545820534229279
0,376,0.11435893923044205
0,501,0.11538806557655334
0,626,0.12960153818130493
0,751,0.12275533378124237
0,876,0.12188803404569626
0,1001,0.11264735460281372
0,1126,0.11094076186418533
0,1251,0.11661642044782639
0,1376,0.11184355616569519
0,1501,0.11464206874370575
0,1626,0.11347775161266327
0,1751,0.1186530664563179
0,1876,0.12459522485733032
0,2001,0.10386456549167633
0,2126,0.1222347840666771
0,2251,0.10638007521629333
0,2376,0.10923457890748978
0,1,0.26064154505729675
0,126,0.12246325612068176
0,251,0.1308562457561493
0,376,0.12463239580392838
0,501,0.11941401660442352
0,626,0.134255513548851
0,751,0.1263629049062729
0,876,0.11278612166643143
0,1001,0.1317821890115738
0,1126,0.10867302864789963
0,1251,0.1152825802564621
0,1376,0.10454807430505753
0,1501,0.12215134501457214
0,1626,0.12628191709518433
0,1751,0.1242373064160347
0,1876,0.1176319420337677
0,2001,0.11108973622322083
0,2126,0.1101355254650116
0,2251,0.11687677353620529
0,2376,0.1134420707821846
0,1,0.3692782521247864
0,126,0.13509580492973328
0,251,0.12088315933942795
0,376,0.13431434333324432
0,501,0.11618802696466446
0,626,0.1250908225774765
0,751,0.1214824691414833
0,876,0.11992243677377701
0,1001,0.11934629082679749
0,1126,0.12132856249809265
0,1251,0.124823197722435
0,1376,0.10843998938798904
0,1501,0.12082753330469131
0,1626,0.10192226618528366
0,1751,0.11529970169067383
0,1876,0.11859375983476639
0,2001,0.1102050393819809
0,2126,0.10075504332780838
0,2251,0.11170666664838791
0,2376,0.11815628409385681
0,1,0.17829304933547974
0,126,0.1272210329771042
0,251,0.12118563055992126
0,376,0.13534797728061676
0,501,0.11518292129039764
0,626,0.12728556990623474
0,751,0.11103735119104385
0,876,0.13115106523036957
0,1001,0.1133393868803978
0,1126,0.12571781873703003
0,1251,0.11651965230703354
0,1376,0.11864519119262695
0,1501,0.12567028403282166
0,1626,0.11800340563058853
0,1751,0.11692916601896286
0,1876,0.11202610284090042
0,2001,0.11267488449811935
0,2126,0.10993430018424988
0,2251,0.10246554017066956
0,2376,0.11606088280677795
0,1,0.19912156462669373
0,126,0.14247320592403412
0,251,0.1190958246588707
0,376,0.13332585990428925
0,501,0.11603911221027374
0,626,0.1310654729604721
0,751,0.12381846457719803
0,876,0.12256728857755661
0,1001,0.11497387290000916
0,1126,0.11360864341259003
0,1251,0.12644100189208984
0,1376,0.11328794807195663
0,1501,0.11288609355688095
0,1626,0.1065216138958931
0,1751,0.1207052692770958
0,1876,0.1182742565870285
0,2001,0.1107211709022522
0,2126,0.10970674455165863
0,2251,0.11446411907672882
0,2376,0.10779588669538498
0,1,0.17637820541858673
0,126,0.13073769211769104
0,251,0.1275862157344818
0,376,0.13396954536437988
0,501,0.11904767900705338
0,626,0.13173411786556244
0,751,0.12806901335716248
0,876,0.13010837137699127
0,1001,0.11312144994735718
0,1126,0.12235715240240097
0,1251,0.11462852358818054
0,1376,0.11388880014419556
0,1501,0.11368779838085175
0,1626,0.1144692599773407
0,1751,0.11329875141382217
0,1876,0.11893820017576218
0,2001,0.11079751700162888
0,2126,0.11368609219789505
0,2251,0.11873121559619904
0,2376,0.10786306113004684
0,1,0.37161919474601746
0,126,0.12397000193595886
0,251,0.12059347331523895
0,376,0.12822137773036957
0,501,0.11932215839624405
0,626,0.14175797998905182
0,751,0.11859069764614105
0,876,0.12955830991268158
0,1001,0.1198418065905571
0,1126,0.12016009539365768
0,1251,0.1233898177742958
0,1376,0.12697382271289825
0,1501,0.11405032128095627
0,1626,0.11651015281677246
0,1751,0.12627629935741425
0,1876,0.11233309656381607
0,2001,0.11506295949220657
0,2126,0.1107686460018158
0,2251,0.11263509094715118
0,2376,0.11560970544815063
0,1,0.44233208894729614
0,126,0.1389339715242386
0,251,0.1324363648891449
0,376,0.130449578166008
0,501,0.13856562972068787
0,626,0.13246798515319824
0,751,0.13071948289871216
0,876,0.11718045920133591
0,1001,0.11769437044858932
0,1126,0.11276033520698547
0,1251,0.12834472954273224
0,1376,0.12302442640066147
0,1501,0.1146826446056366
0,1626,0.12204892933368683
0,1751,0.1124352440237999
0,1876,0.1040087416768074
0,2001,0.12446778267621994
0,2126,0.12424399703741074
0,2251,0.11253701150417328
0,2376,0.11593686789274216
0,1,0.4750322997570038
0,126,0.12211406975984573
0,251,0.13537251949310303
0,376,0.1278683841228485
0,501,0.12452438473701477
0,626,0.13923953473567963
0,751,0.12064605951309204
0,876,0.12437066435813904
0,1001,0.12407784163951874
0,1126,0.1302204728126526
0,1251,0.1224123165011406
0,1376,0.11269017308950424
0,1501,0.1289442479610443
0,1626,0.10960312187671661
0,1751,0.12498800456523895
0,1876,0.12103725224733353
0,2001,0.12509964406490326
0,2126,0.12319012731313705
0,2251,0.10769693553447723
0,2376,0.11671724915504456
0,1,0.22414138913154602
0,126,0.13715940713882446
0,251,0.12166754901409149
0,376,0.13309790194034576
0,501,0.12065636366605759
0,626,0.12203776091337204
0,751,0.10281234979629517
0,876,0.13800817728042603
0,1001,0.10671180486679077
0,1126,0.11193037778139114
0,1251,0.1197822168469429
0,1376,0.11313976347446442
0,1501,0.12170954048633575
0,1626,0.11885524541139603
0,1751,0.11010274291038513
0,1876,0.11831919848918915
0,2001,0.11844860017299652
0,2126,0.118313267827034
0,2251,0.10375741124153137
0,2376,0.12156503647565842
0,1,0.280480295419693
0,126,0.1412484347820282
0,251,0.11600509285926819
0,376,0.12808367609977722
0,501,0.13477925956249237
0,626,0.12324924767017365
0,751,0.12557032704353333
0,876,0.12204071879386902
0,1001,0.11681856215000153
0,1126,0.12312517315149307
0,1251,0.1145479753613472
0,1376,0.13264018297195435
0,1501,0.10726074129343033
0,1626,0.11557474732398987
0,1751,0.11175300925970078
0,1876,0.11213899403810501
0,2001,0.12085233628749847
0,2126,0.10472776740789413
0,2251,0.12176037579774857
0,2376,0.12208636105060577
0,1,0.4650173485279083
0,126,0.1456325650215149
0,251,0.13582821190357208
0,376,0.13637472689151764
0,501,0.12127912789583206
0,626,0.130483478307724
0,751,0.11846473067998886
0,876,0.11814741790294647
0,1001,0.1149425134062767
0,1126,0.11316923052072525
0,1251,0.11854109168052673
0,1376,0.1105634942650795
0,1501,0.09908150881528854
0,1626,0.12166625261306763
0,1751,0.11438027024269104
0,1876,0.10450761765241623
0,2001,0.11492560058832169
0,2126,0.11076055467128754
0,2251,0.10853934288024902
0,2376,0.11337461322546005
0,1,0.17297621071338654
0,126,0.13689489662647247
0,251,0.12026435881853104
0,376,0.1278897523880005
0,501,0.12741553783416748
0,626,0.1193598285317421
0,751,0.11526639759540558
0,876,0.1191888302564621
0,1001,0.09875804930925369
0,1126,0.11736444383859634
0,1251,0.11185769736766815
0,1376,0.12167664617300034
0,1501,0.11907972395420074
0,1626,0.11973453313112259
0,1751,0.11526840180158615
0,1876,0.11919909715652466
0,2001,0.11688116937875748
0,2126,0.13356581330299377
0,2251,0.11727312952280045
0,2376,0.10626303404569626
0,1,0.19040215015411377
0,126,0.12646867334842682
0,251,0.12280785292387009
0,376,0.12371306121349335
0,501,0.12405688315629959
0,626,0.11091984808444977
0,751,0.12342041730880737
0,876,0.11743248999118805
0,1001,0.11352076381444931
0,1126,0.12298202514648438
0,1251,0.11333069950342178
0,1376,0.09437265992164612
0,1501,0.12890377640724182
0,1626,0.11922875046730042
0,1751,0.12152804434299469
0,1876,0.11933629214763641
0,2001,0.11184754222631454
0,2126,0.1075647622346878
0,2251,0.10266362130641937
0,2376,0.10693755000829697
0,1,0.3723437488079071
0,126,0.1363028734922409
0,251,0.11309953778982162
0,376,0.11812800168991089
0,501,0.11220388114452362
0,626,0.11925626546144485
0,751,0.12528428435325623
0,876,0.11747541278600693
0,1001,0.12043643742799759
0,1126,0.11810554563999176
0,1251,0.1191788986325264
0,1376,0.12451360374689102
0,1501,0.10900482535362244
0,1626,0.12590879201889038
0,1751,0.1202630028128624
0,1876,0.11694307625293732
0,2001,0.10806728154420853
0,2126,0.11250774562358856
0,2251,0.1072271540760994
0,2376,0.10580559819936752
0,1,0.2300790548324585
0,126,0.12777313590049744
0,251,0.13009554147720337
0,376,0.12987114489078522
0,501,0.11770351231098175
0,626,0.11829359829425812
0,751,0.13438573479652405
0,876,0.1307196468114853
0,1001,0.12584471702575684
0,1126,0.1104951798915863
0,1251,0.10744205117225647
0,1376,0.11283933371305466
0,1501,0.11202975362539291
0,1626,0.11632578819990158
0,1751,0.11512293666601181
0,1876,0.11441602557897568
0,2001,0.1079883873462677
0,2126,0.12422685325145721
0,2251,0.12409886717796326
0,2376,0.10831799358129501
0,1,0.20939205586910248
0,126,0.14521382749080658
0,251,0.13416048884391785
0,376,0.13631244003772736
0,501,0.14224429428577423
0,626,0.12013580650091171
0,751,0.12478600442409515
0,876,0.11685378849506378
0,1001,0.1294887214899063
0,1126,0.11325099319219589
0,1251,0.10898265987634659
0,1376,0.11827747523784637
0,1501,0.10871530324220657
0,1626,0.1048034280538559
0,1751,0.12263358384370804
0,1876,0.1251392811536789
0,2001,0.1228451281785965
