,N,Loss
0,1,0.44769084453582764
0,101,0.06873813271522522
0,201,0.035238757729530334
0,301,0.030513012781739235
0,401,0.01417056005448103
0,501,0.0062171644531190395
0,601,0.02068619802594185
0,701,0.005655093118548393
0,801,0.008508500643074512
0,901,0.008596133440732956
0,1001,0.006043544504791498
0,1101,0.009472806006669998
0,1201,0.0044016228057444096
0,1301,0.006452671717852354
0,1401,0.005209837108850479
0,1501,0.005416631232947111
0,1601,0.007063058204948902
0,1701,0.009246593341231346
0,1801,0.008538790047168732
0,1901,0.00515187019482255
0,2001,0.004513033200055361
0,2101,0.0019887862727046013
0,2201,0.0061937798745930195
0,2301,0.004082072991877794
0,2401,0.006740049924701452
0,1,0.5495894551277161
0,101,0.12363620847463608
0,201,0.04042233154177666
0,301,0.031102072447538376
0,401,0.027550388127565384
0,501,0.00276010949164629
0,601,0.011660766787827015
0,701,0.008113372139632702
0,801,0.0023343663197010756
0,901,0.0043866815976798534
0,1001,0.0051423474214971066
0,1101,0.006022804882377386
0,1201,0.007216719910502434
0,1301,0.014440011233091354
0,1401,0.0073217772878706455
0,1501,0.006079488899558783
0,1601,0.00799024011939764
0,1701,0.01078299805521965
0,1801,0.006688188761472702
0,1901,0.007684880401939154
0,2001,0.009197355248034
0,2101,0.0024808780290186405
0,2201,0.006229327525943518
0,2301,0.012819857336580753
0,2401,0.006919270381331444
0,1,
0,101,0.06377869844436646
0,201,0.047410134226083755
0,301,0.030370153486728668
0,401,0.018801065161824226
0,501,0.017200494185090065
0,601,0.010081586427986622
0,701,0.014234564267098904
0,801,0.0033465297892689705
0,901,0.007088233716785908
0,1001,0.009212706238031387
0,1101,0.0056687407195568085
0,1201,0.00951776746660471
0,1301,0.005383317358791828
0,1401,0.006695100571960211
0,1501,0.004264699295163155
0,1601,0.006628779228776693
0,1701,0.004889714065939188
0,1801,0.004143535625189543
0,1901,0.006566717755049467
0,2001,0.0038650750648230314
0,2101,0.0067988052032887936
0,2201,0.005687955766916275
0,2301,0.005595817696303129
0,2401,0.0028708474710583687
0,1,
0,101,0.05358140170574188
0,201,0.04109062999486923
0,301,0.03350083529949188
0,401,0.02150905318558216
0,501,0.008230919018387794
0,601,0.010302383452653885
0,701,0.004814712330698967
0,801,0.006094642914831638
0,901,0.0051882280968129635
0,1001,0.004463492892682552
0,1101,0.007161236368119717
0,1201,0.0050124297849833965
0,1301,0.004130719695240259
0,1401,0.007962643168866634
0,1501,0.007028501480817795
0,1601,0.011267801746726036
0,1701,0.007610350847244263
0,1801,0.0033755262847989798
0,1901,0.004006118979305029
0,2001,0.0044481633231043816
0,2101,0.00989817176014185
0,2201,0.007192227989435196
0,2301,0.009113579988479614
0,2401,0.0024169981479644775
0,1,0.4446810781955719
0,101,0.04717682674527168
0,201,0.03613145276904106
0,301,0.03006548248231411
0,401,0.020736047998070717
0,501,0.014207924716174603
0,601,0.010229302570223808
0,701,0.004707312677055597
0,801,0.004719048738479614
0,901,0.005296838469803333
0,1001,0.009280947037041187
0,1101,0.005827414803206921
0,1201,0.008801007643342018
0,1301,0.00719088688492775
0,1401,0.0072259074077010155
0,1501,0.01131915207952261
0,1601,0.00659429095685482
0,1701,0.006560624111443758
0,1801,0.00574655644595623
0,1901,0.012375777587294579
0,2001,0.008198830299079418
0,2101,0.004599344916641712
0,2201,0.002440560609102249
0,2301,0.004223242402076721
0,2401,0.011148090474307537
0,1,0.25949305295944214
0,101,0.0433175191283226
