,N,Loss
0,1,8.354083061218262
0,126,7.451010227203369
0,251,6.240836143493652
0,376,6.940706729888916
0,501,5.982522487640381
0,626,6.844765663146973
0,751,6.85517692565918
0,876,6.417316913604736
0,1001,5.445129871368408
0,1126,6.2944655418396
0,1251,5.402522563934326
0,1376,5.500442981719971
0,1501,6.134927749633789
0,1626,5.831678867340088
0,1751,5.631942272186279
0,1876,4.785676956176758
0,2001,4.444538593292236
0,2126,5.5241875648498535
0,2251,4.450129508972168
0,2376,4.634961128234863
0,1,6.656939506530762
0,126,8.203128814697266
0,251,7.083219528198242
0,376,6.316014289855957
0,501,5.821302890777588
0,626,7.053566932678223
0,751,6.360052108764648
0,876,5.549173355102539
0,1001,5.392073154449463
0,1126,5.430604457855225
0,1251,6.1247382164001465
0,1376,5.088799476623535
0,1501,4.6626176834106445
0,1626,5.515192031860352
0,1751,5.233797073364258
0,1876,5.713062286376953
0,2001,4.578622817993164
0,2126,4.873384952545166
0,2251,5.183289051055908
0,2376,5.177093029022217
0,1,7.6733832359313965
0,126,7.3823981285095215
0,251,7.44680643081665
0,376,6.92633056640625
0,501,5.571648120880127
0,626,6.354367256164551
0,751,6.370559215545654
0,876,4.403301239013672
0,1001,5.061326503753662
0,1126,4.816609859466553
0,1251,5.687551975250244
0,1376,5.4613871574401855
0,1501,5.482367515563965
0,1626,5.096095085144043
0,1751,5.652463912963867
0,1876,5.040049076080322
0,2001,5.252234935760498
0,2126,4.809028625488281
0,2251,4.145165920257568
0,2376,4.524099826812744
0,1,7.856977462768555
0,126,6.849997520446777
0,251,7.388448715209961
0,376,6.797426223754883
0,501,6.694231033325195
0,626,6.439845561981201
0,751,6.022694110870361
0,876,5.768529891967773
0,1001,5.857306480407715
0,1126,4.6867523193359375
0,1251,5.339759349822998
0,1376,5.7776994705200195
0,1501,4.5952301025390625
0,1626,5.721865653991699
0,1751,5.6403398513793945
0,1876,4.3997802734375
0,2001,4.749162673950195
0,2126,4.6900553703308105
0,2251,5.8495192527771
0,2376,4.983466625213623
0,1,7.718862533569336
0,126,7.993258476257324
0,251,6.384701728820801
0,376,7.292957782745361
0,501,6.6406378746032715
0,626,7.202260971069336
0,751,6.466379165649414
0,876,5.3689045906066895
0,1001,4.892114639282227
0,1126,5.208251476287842
0,1251,4.704920291900635
0,1376,4.528295993804932
0,1501,5.723667621612549
0,1626,5.443943500518799
0,1751,5.263208389282227
0,1876,4.879402160644531
0,2001,5.479314804077148
0,2126,5.613675594329834
0,2251,5.749547958374023
0,2376,4.263305187225342
0,1,7.7118635177612305
0,126,7.378532886505127
0,251,6.291067600250244
0,376,6.3509087562561035
0,501,6.4986419677734375
0,626,5.631774425506592
0,751,6.55433464050293
0,876,4.987376689910889
0,1001,5.1500444412231445
0,1126,4.2673115730285645
0,1251,6.078496932983398
0,1376,5.614109516143799
0,1501,6.081479549407959
0,1626,6.0107808113098145
0,1751,4.629636764526367
0,1876,4.572030544281006
0,2001,4.8059892654418945
0,2126,4.483252048492432
0,2251,4.156209945678711
0,2376,4.169422626495361
0,1,8.403550148010254
0,126,6.958372116088867
0,251,5.677495956420898
0,376,7.536596298217773
0,501,5.527915000915527
0,626,6.7923583984375
0,751,5.681643486022949
0,876,6.897809028625488
0,1001,5.918091297149658
0,1126,5.332305431365967
0,1251,5.534273147583008
0,1376,5.8619279861450195
0,1501,4.912844181060791
0,1626,5.419544696807861
0,1751,5.380124568939209
0,1876,4.965034008026123
0,2001,4.81746244430542
0,2126,5.037303924560547
0,2251,4.544912815093994
0,2376,4.1343865394592285
0,1,8.30823040008545
0,126,7.388794422149658
0,251,6.683332443237305
