,N,Loss
0,1,0.44649550318717957
0,101,0.12554927170276642
0,201,0.0678815022110939
0,301,0.053267695009708405
0,401,0.04816936329007149
0,501,0.02132357284426689
0,601,0.01603785529732704
0,701,0.00847758911550045
0,801,0.006850150879472494
0,901,0.010385866276919842
0,1001,0.009465442970395088
0,1101,0.012391715310513973
0,1201,0.008824837394058704
0,1301,0.015549094416201115
0,1401,0.008062539622187614
0,1501,0.013768521137535572
0,1601,0.011836152523756027
0,1701,0.009572615846991539
0,1801,0.007678661495447159
0,1901,0.007176941726356745
0,2001,0.012401643209159374
0,2101,0.010033881291747093
0,2201,0.007269406225532293
0,2301,0.009535656310617924
0,2401,0.010144936852157116
0,1,0.32747510075569153
0,101,0.15017646551132202
0,201,0.07299844920635223
0,301,0.04732280224561691
0,401,0.021722255274653435
0,501,0.022759180516004562
0,601,0.015925372019410133
0,701,0.007090048398822546
0,801,0.013345789164304733
0,901,0.008538402616977692
0,1001,0.012258436530828476
0,1101,0.01139376126229763
0,1201,0.008723147213459015
0,1301,0.009679156355559826
0,1401,0.00973554514348507
0,1501,0.009188812226057053
0,1601,0.008647618815302849
0,1701,0.009707343764603138
0,1801,0.011183565482497215
0,1901,0.009445377625524998
0,2001,0.008398138917982578
0,2101,0.00912452396005392
0,2201,0.005947652272880077
0,2301,0.008796248584985733
0,2401,0.007413812447339296
0,1,0.25407811999320984
0,101,0.10466690361499786
0,201,0.06855931878089905
0,301,0.050405263900756836
0,401,0.03826480731368065
0,501,0.025148000568151474
0,601,0.021331584081053734
0,701,0.005660526920109987
0,801,0.009728776291012764
0,901,0.008802225813269615
0,1001,0.011151804588735104
0,1101,0.010203336365520954
0,1201,0.007963614538311958
0,1301,0.012347495183348656
0,1401,0.013295202516019344
0,1501,0.011045729741454124
0,1601,0.009119824506342411
0,1701,0.008356742560863495
0,1801,0.010290789417922497
0,1901,0.00764838233590126
0,2001,0.006912331096827984
0,2101,0.004752112552523613
0,2201,0.01099439337849617
0,2301,0.00717358011752367
0,2401,0.006691491696983576
0,1,0.5495381355285645
0,101,0.13621951639652252
0,201,0.09940148144960403
0,301,0.049842387437820435
0,401,0.046054258942604065
0,501,0.02023131400346756
0,601,0.01019336935132742
0,701,0.007442914415150881
0,801,0.008097020909190178
0,901,0.009382042102515697
0,1001,0.015142269432544708
0,1101,0.009597807191312313
0,1201,0.015225767157971859
0,1301,0.011079474352300167
0,1401,0.014350254088640213
0,1501,0.011976499110460281
0,1601,0.015612006187438965
0,1701,0.012148477137088776
0,1801,0.010206859558820724
0,1901,0.009364144876599312
0,2001,0.010221652686595917
0,2101,0.008008286356925964
0,2201,0.006614879239350557
0,2301,0.00879637897014618
0,2401,0.006812842097133398
0,1,0.306417852640152
0,101,0.08432117104530334
0,201,0.07065997272729874
0,301,0.0587569922208786
0,401,0.03495906665921211
0,501,0.012786119244992733
0,601,0.00595434382557869
0,701,0.007777277380228043
0,801,0.009056425653398037
0,901,0.012451780959963799
0,1001,0.013040993362665176
0,1101,0.010548613034188747
0,1201,0.010225851088762283
0,1301,0.010936335660517216
0,1401,0.009290177375078201
0,1501,0.010298026725649834
0,1601,0.009019806049764156
0,1701,0.011531729251146317
0,1801,0.008484010584652424
0,1901,0.011787453666329384
0,2001,0.010056794621050358
0,2101,0.011763607151806355
0,2201,0.010614885948598385
0,2301,0.010442996397614479
0,2401,0.01027105376124382
0,1,0.5409640073776245
0,101,0.06835200637578964
0,201,0.07424944639205933
0,301,0.05373286083340645
0,401,0.05569859594106674
0,501,0.032772649079561234
0,601,0.004772372078150511
0,701,0.004843564238399267
0,801,0.006682569161057472
0,901,0.009396377019584179
0,1001,0.008818505331873894
0,1101,0.00983161386102438
0,1201,0.010997200384736061
0,1301,0.011222545057535172
0,1401,0.008999066427350044
0,1501,0.007527894340455532
0,1601,0.007364058401435614
0,1701,0.009740574285387993
0,1801,0.010153199546039104
0,1901,0.006091303192079067
0,2001,0.005856289062649012
0,2101,0.007962026633322239
0,2201,0.012605284340679646
0,2301,0.00677140336483717
0,2401,0.007258754223585129
0,1,0.5034583806991577
0,101,0.13919173181056976
0,201,0.10751772671937943
0,301,0.05207434669137001
0,401,0.04279448837041855
0,501,0.019833574071526527
0,601,0.01881653256714344
0,701,0.0066321492195129395
0,801,0.005894509144127369
0,901,0.011317960917949677
0,1001,0.014774891547858715
0,1101,0.014257244765758514
0,1201,0.011009433306753635
0,1301,0.013231612741947174
0,1401,0.01117656473070383
0,1501,0.01092112623155117
0,1601,0.006191077176481485
0,1701,0.008748778142035007
0,1801,0.00784433912485838
0,1901,0.006779088173061609
0,2001,0.0055533647537231445
0,2101,0.014178331010043621
0,2201,0.006105210166424513
0,2301,0.00377775845117867
0,2401,0.0019357705023139715
0,1,0.21345525979995728
0,101,0.12827591598033905
0,201,0.08660493791103363
0,301,0.060709964483976364
0,401,0.026968490332365036
0,501,0.024042220786213875
0,601,0.014531765133142471
0,701,0.007410020101815462
0,801,0.004304995760321617
0,901,0.009734028950333595
0,1001,0.009095538407564163
0,1101,0.011429323814809322
0,1201,0.012615565210580826
0,1301,0.01209587138146162
0,1401,0.007154905702918768
0,1501,0.011807532049715519
0,1601,0.011902681551873684
0,1701,0.0073291645385324955
0,1801,0.009101562201976776
0,1901,0.005070628132671118
0,2001,0.004160289186984301
0,2101,0.010123362764716148
0,2201,0.007985950447618961
0,2301,0.004939128179103136
0,2401,0.009390386752784252
0,1,0.6089509129524231
0,101,0.13594815135002136
0,201,0.06644740700721741
0,301,0.08413065969944
0,401,0.02763012796640396
0,501,0.02025626413524151
0,601,0.01991952396929264
0,701,0.005203530192375183
0,801,0.012249675579369068
0,901,0.006869092583656311
0,1001,0.008269206620752811
0,1101,0.013019872829318047
0,1201,0.011299614794552326
0,1301,0.011017782613635063
0,1401,0.012685763649642467
0,1501,0.010713905096054077
0,1601,0.010185961611568928
0,1701,0.006830819882452488
0,1801,0.003974161576479673
0,1901,0.01827816665172577
0,2001,0.011330356821417809
0,2101,0.01170321088284254
0,2201,0.006366366054862738
0,2301,0.010899731889367104
0,2401,0.009345950558781624
0,1,0.6375542283058167
0,101,0.14888297021389008
0,201,0.10967876762151718
0,301,0.050891146063804626
0,401,0.03525909036397934
0,501,0.023732272908091545
0,601,0.02121141366660595
0,701,0.005067168269306421
0,801,0.009852966293692589
0,901,0.010220956988632679
0,1001,0.009161390364170074
0,1101,0.013322114013135433
0,1201,0.01021338626742363
0,1301,0.009548064321279526
0,1401,0.010805521160364151
0,1501,0.00869910977780819
0,1601,0.012278824113309383
0,1701,0.007088349666446447
0,1801,0.005463395267724991
0,1901,0.00913063995540142
0,2001,0.008673337288200855
0,2101,0.0071962387301027775
0,2201,0.005993393715471029
0,2301,0.012719608843326569
0,2401,0.006668922491371632
0,1,0.4988135099411011
0,101,0.10301921516656876
0,201,0.06982771307229996
0,301,0.04647226631641388
0,401,0.03978456184267998
0,501,0.02410910837352276
0,601,0.014420833438634872
0,701,0.013277270831167698
0,801,0.012206641025841236
0,901,0.007838500663638115
0,1001,0.009338829666376114
0,1101,0.012844374403357506
0,1201,0.007722125854343176
0,1301,0.009841249324381351
0,1401,0.011423196643590927
0,1501,0.018866226077079773
0,1601,0.0067598409950733185
0,1701,0.012011809274554253
0,1801,0.009763062000274658
0,1901,0.00652431370690465
0,2001,0.0048156194388866425
0,2101,0.006381198298186064
0,2201,0.008576076477766037
0,2301,0.003628305858001113
0,2401,0.006555184256285429
0,1,0.31746533513069153
0,101,0.11124423891305923
0,201,0.06576170027256012
0,301,0.059387072920799255
0,401,0.028664685785770416
0,501,0.030740423128008842
0,601,0.009864610619843006
0,701,0.005294265691190958
0,801,0.010996483266353607
0,901,0.010051037184894085
0,1001,0.011349954642355442
0,1101,0.008007864467799664
0,1201,0.013524963520467281
0,1301,0.014784863218665123
0,1401,0.008967449888586998
0,1501,0.01029238197952509
0,1601,0.011449510231614113
0,1701,0.012266254052519798
0,1801,0.008143843151628971
0,1901,0.008148708380758762
0,2001,0.014783268794417381
0,2101,0.010767239145934582
0,2201,0.006840599700808525
0,2301,0.005564110819250345
0,2401,0.009093462489545345
0,1,0.4068622291088104
0,101,0.1821632832288742
0,201,0.06548464298248291
0,301,0.048054035753011703
0,401,0.02483610436320305
0,501,0.016368728131055832
0,601,0.005810532718896866
0,701,0.005025899037718773
0,801,0.0073351776227355
0,901,0.009545726701617241
0,1001,0.014755976386368275
0,1101,0.008981638588011265
0,1201,0.011763466522097588
0,1301,0.011110692285001278
0,1401,0.008241347968578339
0,1501,0.01130831241607666
0,1601,0.008375346660614014
0,1701,0.008081803098320961
0,1801,0.007249223534017801
0,1901,0.0052011990919709206
