,N,Loss
0,1,4.7959394454956055
0,101,4.371389389038086
0,201,3.2228429317474365
0,301,18.235628128051758
0,401,14.95814323425293
0,501,3.2931134700775146
0,601,6.477431774139404
0,701,6.722388744354248
0,801,9.483107566833496
0,901,4.8121538162231445
0,1001,5.828951358795166
0,1101,5.682170867919922
0,1201,3.7928855419158936
0,1301,4.631124019622803
0,1401,6.4056291580200195
0,1501,4.795214653015137
0,1601,4.865373611450195
0,1701,6.685995578765869
0,1801,4.987185001373291
0,1901,4.145124435424805
0,2001,3.307523488998413
0,2101,6.118628025054932
0,2201,3.2547943592071533
0,2301,6.314623832702637
0,2401,70.03109741210938
0,1,3.635486364364624
0,101,3.456993818283081
0,201,8.724205017089844
0,301,6.6694016456604
0,401,4.790902614593506
0,501,14.871478080749512
0,601,9.407622337341309
0,701,7.56253719329834
0,801,4.242948532104492
0,901,63.17316436767578
0,1001,5.568625450134277
0,1101,2.5927157402038574
0,1201,3.1453778743743896
0,1301,5.6761555671691895
0,1401,3.93287992477417
0,1501,6.167665958404541
0,1601,7.004594802856445
0,1701,3.8974905014038086
0,1801,5.182412624359131
0,1901,9.924180030822754
0,2001,6.065697193145752
0,2101,3.5905988216400146
0,2201,2.2989258766174316
0,2301,3.427401542663574
0,2401,5.212256908416748
0,1,13.982440948486328
0,101,42.283782958984375
0,201,11.587803840637207
0,301,5.871592998504639
0,401,3.108654737472534
0,501,4.84539794921875
0,601,5.598064422607422
0,701,43.3872184753418
0,801,6.156984806060791
0,901,20.569581985473633
0,1001,2.4294822216033936
0,1101,3.348637580871582
0,1201,75.04501342773438
0,1301,7.849318981170654
0,1401,8.496750831604004
0,1501,4.779542446136475
0,1601,15.594249725341797
0,1701,4.3421759605407715
0,1801,5.4443678855896
0,1901,3.888529062271118
0,2001,3.885321617126465
0,2101,147.3783721923828
0,2201,7.695266246795654
0,2301,5.9254350662231445
0,2401,8.167282104492188
0,1,6.429504871368408
0,101,5.064652919769287
0,201,4.09440803527832
0,301,3.6067702770233154
0,401,2.8363537788391113
0,501,5.507535457611084
0,601,3.6258461475372314
0,701,8.593094825744629
0,801,7.587954044342041
0,901,2.329766273498535
0,1001,9.439896583557129
0,1101,16.066343307495117
0,1201,5.6762847900390625
0,1301,2.363591194152832
0,1401,5.815551280975342
0,1501,3.9078142642974854
0,1601,3.68947172164917
0,1701,6.634368896484375
0,1801,8.63913345336914
0,1901,7.43398904800415
0,2001,7.236264228820801
0,2101,7.668402194976807
0,2201,6.047952175140381
0,2301,3.194045305252075
0,2401,9.447754859924316
0,1,33.377410888671875
0,101,16.005477905273438
0,201,6.391955375671387
0,301,5.032881259918213
0,401,3.686816692352295
0,501,12.291945457458496
0,601,9.13824462890625
0,701,12.057585716247559
0,801,6.484584331512451
0,901,6.510210990905762
0,1001,3.5923538208007812
0,1101,6.585804462432861
0,1201,7.1464128494262695
0,1301,4.520544052124023
0,1401,54.47469711303711
0,1501,4.252363681793213
0,1601,2.9245409965515137
0,1701,12.455042839050293
0,1801,4.412358283996582
0,1901,3.538425922393799
0,2001,24.885194778442383
0,2101,4.859634876251221
0,2201,7.863198757171631
0,2301,7.965020656585693
0,2401,25.884239196777344
0,1,5.585529804229736
0,101,5.0072550773620605
0,201,2.7247672080993652
0,301,4.861804962158203
0,401,8.561441421508789
0,501,33.56121063232422
0,601,4.446066379547119
0,701,11.31701946258545
0,801,5.63948917388916
0,901,2.791160821914673
0,1001,7.3451666831970215
0,1101,2.938844680786133
0,1201,7.081737041473389
0,1301,3.2031588554382324
0,1401,3.3307127952575684
0,1501,12.121628761291504
0,1601,5.97233772277832
0,1701,4.693771839141846
0,1801,4.223767280578613
0,1901,3.0283944606781006
0,2001,5.1242756843566895
0,2101,3497.67529296875
0,2201,19.9386043548584
0,2301,3.2503044605255127
0,2401,5.3075432777404785
0,1,4.465043067932129
0,101,8.711634635925293
0,201,59.300987243652344
0,301,7.8167572021484375
0,401,7.081124782562256
0,501,7.624290943145752
0,601,8.733410835266113
0,701,40.67042922973633
0,801,4.110631942749023
0,901,109.08988189697266
0,1001,6.453003406524658
0,1101,5.16921854019165
0,1201,5.712636947631836
0,1301,3.3097381591796875
0,1401,4.985537528991699
0,1501,4.436048984527588
0,1601,3.5050132274627686
0,1701,5.941977024078369
0,1801,59.454795837402344
0,1901,12.359328269958496
0,2001,14.358057022094727
0,2101,2.666597843170166
0,2201,4.070456504821777
0,2301,3.061020612716675
0,2401,9.397014617919922
0,1,6.967082500457764
0,101,4.887340068817139
0,201,2.643784284591675
0,301,5.622100353240967
0,401,4.441580772399902
0,501,3.460827589035034
0,601,4.384159088134766
0,701,5.46597957611084
0,801,8.630756378173828
0,901,24.100990295410156
0,1001,9.100763320922852
0,1101,7.21540641784668
0,1201,7.761629104614258
0,1301,10.390301704406738
0,1401,7.3273210525512695
0,1501,6.730021953582764
0,1601,6.051506996154785
0,1701,5.746244430541992
0,1801,5.970801830291748
0,1901,4.716320991516113
0,2001,4.576055526733398
0,2101,6.919760227203369
0,2201,3.7364838123321533
0,2301,6.509464263916016
0,2401,9.239694595336914
0,1,4.143678665161133
0,101,33.121055603027344
0,201,7.181891918182373
0,301,4.969435214996338
0,401,4.741145133972168
0,501,6.975074291229248
0,601,7.2173662185668945
0,701,17.345109939575195
0,801,3.8744325637817383
0,901,5.344144821166992
0,1001,11.481964111328125
0,1101,2.8063619136810303
0,1201,4.782928943634033
0,1301,3.0030276775360107
0,1401,13.668346405029297
0,1501,117.30162811279297
0,1601,4.380006313323975
0,1701,3.1723973751068115
0,1801,40.190223693847656
0,1901,4.220514297485352
0,2001,8.921473503112793
0,2101,6.715165615081787
0,2201,5.096456050872803
0,2301,4.725285530090332
0,2401,5.765293121337891
0,1,4.9623188972473145
0,101,7.827180862426758
0,201,6.125763416290283
0,301,5.154847621917725
0,401,4.044244766235352
0,501,4.427255630493164
0,601,4.032416820526123
0,701,15.609658241271973
0,801,22.716327667236328
0,901,4.992066383361816
0,1001,2.9095075130462646
0,1101,6.325940132141113
0,1201,117.68313598632812
0,1301,5.468745708465576
0,1401,2.7941248416900635
0,1501,2.9073362350463867
0,1601,10.509160041809082
0,1701,3.387634038925171
0,1801,6.576295375823975
0,1901,7.539657115936279
0,2001,4.294139862060547
0,2101,6.209542274475098
0,2201,7.071372032165527
